,比較データ左,比較データ右,選択結果
0,F,E,1
1,A,E,1
2,E,B,0
3,A,C,1
4,E,D,0
5,F,A,1
6,C,D,1
7,B,F,1
8,B,D,1
9,E,A,0
10,D,F,1
11,F,C,1
12,A,F,1
13,C,A,1
14,C,F,1
15,B,C,1
16,D,A,1
17,B,A,1
18,A,B,1
19,E,C,0
20,F,B,1
21,C,E,1
22,B,E,1
23,E,F,0
24,A,D,1
25,D,E,1
26,D,B,1
27,C,B,1
28,F,D,1
29,D,C,1
